idx,domain,doc,source,reference,target
0,news,test-en-news_newsrepublic.com.6817,The Biden Administration Is Letting Corporate Criminals Off the Hook,"바이든 행정부, 기업 범죄자들을 눈감아 주다","바이든 행정부, 기업 범죄자들 처벌에 관대하다"
1,news,test-en-news_newsrepublic.com.6817,"Tim Whitehouse, a former EPA enforcement attorney and the executive director of Public Employees for Environmental Responsibility, praised the Biden administration's recent improvements on enforcement while acknowledging the strong headwinds such efforts face.",전직 EPA 실행 대리인이자 환경 담당 공무원 상무 이사인 팀 화이트하우스 씨는 바이든 행정부의 최근 시행 개선안을 호평하면서도 그러한 노력이 당면하고 있는 강력한 역풍을 인정했습니다.,전 EPA 집행 변호사이자 공공환경책임협회(PEER)의 상임이사인 팀 화이트하우스는 바이든 행정부의 최근 집행 개선을 칭찬하면서도 이러한 노력이 직면한 강한 역풍을 인정했습니다.
2,news,test-en-news_newsrepublic.com.6817,"""It takes years of sustained funding and political support to build a good enforcement program,"" he told me.","""프로그램을 제대로 실행하려면 수년간의 지속적인 자금 지원과 정치적 지원이 필요합니다"" 라고 그는 밝혔습니다.","그는 ""훌륭한 집행 프로그램을 구축하려면 수년간의 지속적인 자금 지원과 정치적 지지가 필요합니다.""라고 말했습니다."
3,news,test-en-news_newsrepublic.com.6817,"""The instability in Congress is not only demoralizing to EPA staff but undermines their ability to think strategically over the long term.""","""의회가 불안정하면 EPA 직원들의 사기가 떨어질 뿐만 아니라 그들의 장기적인 전략적 사고 능력을 저하시킵니다.""","""의회의 불안정성은 EPA 직원들의 사기를 저하시킬 뿐만 아니라 장기적인 전략적 사고 능력을 저해합니다."""
4,news,test-en-news_newsrepublic.com.6817,"The problems at the EPA are distinct but not unrelated to those at the Department of Justice, which handles environmental crimes via its Environment and Natural Resources Division, or ENRD.",EPA의 문제는 법무부 산하 환경 및 천연자원과 즉 ENRD에서 환경 범죄를 다루는 문제와 구별되지만 관계가 없는 것은 아닙니다.,환경보호청(EPA)의 문제는 법무부(DOJ)의 문제와 별개이지만 관련이 없는 것은 아닙니다.
5,news,test-en-news_newsrepublic.com.6817,"Prior to joining the EPA, Uhlmann - the EPA assistant secretary for enforcement - had served as the longtime head of that division's Environmental Crimes Section, from 1990 through 2007.",EPA에서 EPA 실행 차관보로 근무했던 울만 씨는 해당 분과의 환경 범죄 부문에서 1990년부터 2007년까지 오랜 기간 수장으로 활동했습니다.,"법무부는 환경자연자원국(ENRD)을 통해 환경 범죄를 처리합니다. EPA의 집행 담당 차관보인 울만은 EPA에 합류하기 전, 1990년부터 2007년까지 ENRD의 환경범죄과 과장을 오랫동안 역임했습니다."
6,news,test-en-news_newsrepublic.com.6817,"The EPA sends its most serious civil and criminal cases to ENRD, which - as a relatively underfunded office - often relies on other agencies in helping to choose which fights to take on.",EPA는 가장 심각한 민형사 사건을 ENRD로 이양하는데 해당 부서가 상대적으로 자금이 부족한 부서이다 보니 다뤄야 할 사건을 선정할 때 종종 다른 기관의 도움을 받게 됩니다.,"EPA는 가장 심각한 민사 및 형사 사건을 ENRD에 보내는데, ENRD는 상대적으로 자금이 부족한 부서이기 때문에 어떤 사건을 처리할지 결정하는 데 있어 다른 기관에 의존하는 경우가 많습니다."
7,news,test-en-news_newsrepublic.com.6817,"In fiscal year 2022, the EPA deferred fewer cases to DOJ (88) than at any point since 2000 and concluded fewer civil judicial cases than it had since that time, as well.",2022 회계 연도에 EPA는 2000년 이후 그 어느 때보다 가장 적은 수의 사건들을 법무부 (88)로 넘겼고 역시 그 이후 가장 적은 숫자의 민사 재판건을 종결했습니다.,"2022 회계연도에 EPA는 2000년 이후 어느 때보다 적은 수인 88건을 법무부에 이관했고, 민사 소송 건수도 그 이후 어느 때보다 적었습니다."
8,news,test-en-news_newsrepublic.com.6817,"As the Environmental Integrity Project notes, even Trump's EPA concluded 94 civil cases and deferred 106 cases per year to the DOJ per year, on average.",환경 건전성 프로젝트가 언급했듯이 트럼프 행정부의 EPA 역시 한 해 평균 94건의 민사 사건을 종결했고 106건을 법무부로 이양했습니다.,"환경보전프로젝트(Environmental Integrity Project)가 지적했듯이, 트럼프 행정부의 EPA조차도 연평균 94건의 민사 소송을 종결하고 106건을 법무부에 이관했습니다."
9,news,test-en-news_newsrepublic.com.6817,The Department of Justice's overall approach to corporate crimes has come under intense scrutiny from advocates.,기업 범죄에 대한 법무부의 전반적인 접근은 변호사들의 극심한 검토의 대상이 되어 왔습니다.,법무부의 기업 범죄에 대한 전반적인 접근 방식이 시민단체들의 강도 높은 비판을 받고 있다.
10,news,test-en-news_newsrepublic.com.6817,"While watchdogs have lauded some steps the department has taken during Merrick Garland's tenure as attorney general - like finally establishing a database on corporate crime - Biden's DOJ has also leaned heavily on leniency agreements that allow companies to defer or avoid prosecution, and encouraged companies to scapegoat individual employees so as to avoid a broader charge.","감시 단체들은 메릭 갈랜드 법무 장관의 재임 기간 중에 해당 부서가 기업 범죄 데이터베이스를 마침내 구축하는 등 도입한 몇몇 조치에 대해 호평을 보냈지만 바이든 법무부는 자진신고자 감면제도에 지나치게 의지함으로써 기업들이 기소를 미루거나 피하도록 허용하고, 더 넓은 범위의 책임을 피하려고 개인 직원에게 책임을 전가하도록 부추겼습니다.","감시 단체들은 메릭 갈랜드 법무장관 재임 기간 동안 법무부가 취한 몇몇 조치, 예를 들어 기업 범죄 데이터베이스 구축 등을 높이 평가했지만, 바이든 행정부의 법무부는 기업들이 기소를 유예하거나 피할 수 있도록 하는 유예 합의에 지나치게 의존하고 있으며, 더 광범위한 혐의를 피하기 위해 개별 직원을 희생양으로 삼도록 부추기고 있다는 비판을 받고 있다."
11,news,test-en-news_newsrepublic.com.6817,"Kenneth Polite Jr., former assistant attorney general for DOJ's Criminal Division, revised the division's corporate enforcement policy so as to limit prosecutions.",전직 법무부 범죄 분과의 법무 보좌관이었던 케네스 폴라이트 주니어 씨는 기소를 제한하기 위해 해당 분과의 기업 실행 정책을 개정했습니다.,법무부 형사국 차관보였던 케네스 폴라이트 주니어는 기소를 제한하기 위해 형사국의 기업 처벌 정책을 수정했다.
12,news,test-en-news_scotsman.87458,Politicians get it wrong when it comes to rent caps,임대료 제한에 관한 정치인들의 오판,정치인들은 임대료 상한제에 대해 오판하고 있다.
13,news,test-en-news_scotsman.87458,There is always the temptation for politicians to intervene in situations where they think they can make a difference.,정치인들은 본인이 나서면 달라질 것 같은 상황에 개입하고 싶은 유혹을 늘 느낀다.,정치인들은 자신이 변화를 만들 수 있다고 생각하는 상황에 개입하고 싶은 유혹을 항상 느낍니다.
14,news,test-en-news_scotsman.87458,"Of course, if there was an obvious simple solution to a problem somebody with more knowledge and understanding of the problems would already have implemented it.","물론 어떤 문제에 대해 분명하고 간단한 해법이 있다면, 그 문제를 더 잘 알고 이해하는 누군가가 이미 그 해법을 적용했을 것이다.","물론, 문제에 대한 명확하고 간단한 해결책이 있다면, 그 문제에 대해 더 많은 지식과 이해를 가진 누군가가 이미 그것을 실행했을 것입니다."
15,news,test-en-news_scotsman.87458,"Thus, we had the introduction of the Cost of Living (Tenant protection) (Scotland) Act 2022 nearly 18 months ago which sought to cap rents for a limited period to ease the pressures of the cost-of-living crisis.",그리하여 우리는 대략 18개월 전에 생계비(임차인 보호) 법(Cost of Living (Tenant protection) (Scotland) Act 2022)을 도입했다. 한시적으로 임대료 한도를 정해 생계비 위기의 부담을 덜겠다는 취지였다.,"따라서 약 18개월 전, 생활비 위기로 인한 압박을 완화하기 위해 제한된 기간 동안 임대료 상한선을 설정하고자 하는 '2022년 생활비(세입자 보호)(스코틀랜드)법'이 도입되었습니다."
