idx,domain,doc,source,reference,target
0,news,test-en-news_economist.14223,German farmers and train drivers are scaring Germany's bosses,독일 농민과 기관사의 쟁의에 좌불안석인 독일 재계,독일 농부와 기관사들이 독일 기업 경영진들을 긴장시키고 있다.
1,news,test-en-news_economist.14223,"In Germany, where workers and bosses run many companies jointly, a big strike is unusual.",노사 공동 경영 체제의 회사가 많은 독일에서 대규모 파업은 드문 일이다.,독일에서는 노사가 공동으로 많은 기업을 운영하기 때문에 대규모 파업은 드문 일입니다.
2,news,test-en-news_economist.14223,A wave of big strikes is almost unheard of.,대형 노동 쟁의가 일제히 일어나는 것은 유례를 찾아보기 힘들다.,일련의 대규모 파업은 거의 전례가 없습니다.
3,news,test-en-news_economist.14223,"Right now the country of ""co-determination"" is simultaneously facing an eight-day ""action week"" by irate farmers, who blocked roads with tractors, a three-day strike of railway workers and, to top it off, a looming strike of doctors, who already closed surgeries between Christmas and New Year's Day.","지금 이 '공동 결정'의 나라에서는 분노한 농부들이 트랙터로 도로를 막고 점거하는 8일간의 '행동 주간'과 사흘간의 철도 노동자 파업이 동시에 벌어지고 있으며, 설상가상으로 이미 크리스마스부터 새해까지 수술실을 폐쇄한 의사들의 파업까지 앞두고 있다.","""공동결정""의 나라 독일은 현재 트랙터로 도로를 봉쇄한 격분한 농민들의 8일간의 ""행동 주간"", 철도 노동자들의 3일간의 파업, 그리고 설상가상으로 크리스마스와 새해 사이에 이미 진료를 중단했던 의사들의 파업 위협까지 동시에 직면하고 있습니다."
4,news,test-en-news_economist.14223,"This Mistgabelmop (pitchfork mob), as some have taken to calling it, will test Germany's harmonious labour relations in the year to come.",'Mistgabelmop'(쇠스랑 무리들)이라고도 불리는 이번 사태로 인해 독일의 조화로운 노사 관계가 앞으로 시험대에 오를 것이다.,"일부에서 ""미스트가벨몹(쇠스랑 폭도)""이라고 부르는 이러한 상황은 앞으로 독일의 조화로운 노사 관계를 시험하게 될 것입니다."
5,news,test-en-news_economist.14223,The protests were ostensibly set off by the government's decision to end subsidies for diesel fuel used in agriculture and to cut an exemption from car tax for farm vehicles.,이번 시위의 표면적인 도화선은 농업용 디젤 연료에 대한 보조금 지급 및 농장용 차량에 대한 자동차세 면제를 중단한다는 정부의 결정이었다.,표면적으로는 정부의 농업용 경유 보조금 폐지와 농기계 자동차세 감면 혜택 축소 결정이 시위의 도화선이 되었습니다.
6,news,test-en-news_economist.14223,These measures pushed farmers over the edge.,이에 대해 농민들의 분노가 폭발했다.,"이러한 조치는 농민들을 분노하게 만들었고,"
7,news,test-en-news_economist.14223,"It also mobilised other angry workers, already straining under the pressure of inflation, recession and the government's self-imposed austerity.","게다가 이미 인플레이션, 경기 침체, 정부의 자발적 긴축 정책의 압박에 시달려 온 다른 노동자들도 분노의 물결에 동참하기 시작했다.","이미 인플레이션, 경기 침체, 그리고 정부의 자발적인 긴축 정책으로 어려움을 겪고 있던 다른 노동자들까지 결집시켰습니다."
8,news,test-en-news_economist.14223,"On January 9th drivers of freight and passenger trains at Deutsche Bahn, the national railway, began a strike over working hours and pay.",1월 9일에는 국영 철도 회사인 도이체반(Deutsche Bahn)의 화물/여객 열차 기관사들이 노동 시간 및 임금에 관한 요구를 내세우며 파업을 시작했다.,1월 9일에는 독일 국영 철도 회사인 도이치반(Deutsche Bahn)의 화물 및 여객 열차 기관사들이 근무 시간과 임금 인상을 요구하며 파업에 돌입했습니다.
9,news,test-en-news_economist.14223,"In an effort to defuse the tension with the farmers, the government agreed to a gradual removal of the diesel subsidy over three years and to keeping the exemption from the car tax.",독일 정부는 농민들과의 갈등을 진정시키기 위해 디젤 보조금 중단을 3년에 걸쳐 점진적으로 진행하고 자동차세 면제 혜택은 유지하기로 했다.,농민들의 반발을 누그러뜨리기 위해 정부는 3년에 걸쳐 경유 보조금을 단계적으로 폐지하고 자동차세 감면은 유지하기로 합의했다.
