idx,domain,context,skill,span,time
0,news,Local,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']",,28.519
1,news,Universal,"['Terminology Control', 'Reference Consistency', 'Participant Focus']","[{""start"":25,""end"":28,""text"":""EPA"",""labels"":[""need context""]}]",18.574
2,news,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,11.852
3,news,Universal,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":57,""end"":60,""text"":""EPA"",""labels"":[""need context""]}]",14.257
4,news,Universal,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":20,""end"":23,""text"":""EPA"",""labels"":[""need context""]}]",21.03
5,news,Universal,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":21,""end"":24,""text"":""EPA"",""labels"":[""need context""]}]",135.294
6,news,Universal,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":59,""end"":63,""text"":""ENRD"",""labels"":[""need context""]},{""start"":4,""end"":7,""text"":""EPA"",""labels"":[""need context""]}]",21.884
7,news,Universal,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":53,""end"":56,""text"":""DOJ"",""labels"":[""need context""]},{""start"":25,""end"":28,""text"":""EPA"",""labels"":[""need context""]}]",33.6
8,news,Universal,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":59,""end"":62,""text"":""EPA"",""labels"":[""need context""]},{""start"":127,""end"":130,""text"":""DOJ"",""labels"":[""need context""]}]",34.604
9,news,Sentence-level,"['Information Density', 'Participant Focus', 'Modality and Attitude']",,22.616
10,news,Universal,"['Information Density', 'Terminology Control', 'Modality and Attitude']","[{""start"":184,""end"":187,""text"":""DOJ"",""labels"":[""need context""]}]",11.098
11,news,Universal,"['Participant Focus', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":58,""end"":63,""text"":""DOJ's"",""labels"":[""need context""]}]",19.136
12,news,Extended,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":42,""end"":51,""text"":""rent caps"",""labels"":[""need context""]}]",18.151
13,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,47.641
14,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,45.443
15,news,Sentence-level,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']",,10.958
16,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,17.221
17,news,Sentence-level,"['Information Density', 'Terminology Control', 'Modality and Attitude']",,31.59
18,news,Sentence-level,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']",,47.141
19,news,Sentence-level,"['Information Density', 'Participant Focus', 'Modality and Attitude']",,22.741
20,news,Global,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":9,""end"":27,""text"":""Cost of Living Act"",""labels"":[""need context""]}]",51.409
21,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":16,""text"":""The consultation"",""labels"":[""need context""]}]",22.078
22,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,26.059
23,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":22,""text"":""This tapering proposal"",""labels"":[""need context""]}]",22.077
24,news,Sentence-level,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']",,24.531
25,news,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":0,""end"":2,""text"":""We"",""labels"":[""need context""]}]",17.381
26,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,10.499
27,news,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":90,""end"":100,""text"":""the sector"",""labels"":[""need context""]},{""start"":15,""end"":38,""text"":""this consultation paper"",""labels"":[""need context""]}]",26.535
28,news,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']",,58.531
29,news,Sentence-level,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']",,17.786
30,news,Universal,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":34,""end"":37,""text"":""PRS"",""labels"":[""need context""]}]",14.576
31,news,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":31,""end"":34,""text"":""PRS"",""labels"":[""need context""]}]",19.514
32,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,23.804
33,news,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,11.587
34,news,Universal,"['Information Density', 'Terminology Control', 'Modality and Attitude']","[{""start"":97,""end"":105,""text"":""Scotsman"",""labels"":[""need context""]}]",23.137
35,news,Sentence-level,"['Style Register', 'Participant Focus', 'Modality and Attitude']",,71.688
36,news,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":136,""end"":155,""text"":""the Horizon scandal"",""labels"":[""need context""]},{""start"":52,""end"":64,""text"":""The Scotsman"",""labels"":[""need context""]}]",38.846
37,news,Sentence-level,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,18.944
38,news,Universal,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":54,""end"":61,""text"":""Horizon"",""labels"":[""need context""]},{""start"":79,""end"":90,""text"":""Post Office"",""labels"":[""need context""]},{""start"":122,""end"":125,""text"":""MPs"",""labels"":[""need context""]}]",49.204
39,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,9.298
40,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,30.475
41,news,Universal,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":73,""end"":77,""text"":"" ITV"",""labels"":[""need context""]},{""start"":80,""end"":107,""text"":""Mr Bates Vs The Post Office"",""labels"":[""need context""]}]",45.412
42,news,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":15,""end"":23,""text"":""inaction"",""labels"":[""need context""]}]",37.527
43,news,Sentence-level,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']",,15.157
