idx,sent_score,tot_score,Information Density,Idea Development,Terminology Control,Style Register,Reference Consistency,Logical Connectivity,Modality and Attitude,Participant Focus,Relational Address,time
0,3,8,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,49.325
1,3,8,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,medium,not relevant,24.207
2,4,8,not relevant,not relevant,not relevant,medium,not relevant,not relevant,medium,not relevant,not relevant,111.361
3,3,7,low,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,not relevant,146.528
4,3,8,not relevant,not relevant,medium,medium,not relevant,not relevant,medium,not relevant,not relevant,91.492
5,4,9,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,29.782
6,4,10,not relevant,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,25.219
7,3,9,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,28.33
8,4,10,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,119.926
9,4,10,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,73.217
10,4,8,not relevant,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,24.635
11,4,9,not relevant,not relevant,high,high,not relevant,not relevant,medium,not relevant,not relevant,49.657
12,3,8,not relevant,not relevant,high,high,medium,not relevant,not relevant,not relevant,not relevant,78.267
13,3,7,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,28.438
14,4,10,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,58.716
15,4,9,not relevant,not relevant,not relevant,medium,not relevant,not relevant,high,not relevant,not relevant,41.826
16,3,7,medium,not relevant,not relevant,medium,low,not relevant,not relevant,not relevant,not relevant,68.958
17,4,8,not relevant,medium,medium,medium,medium,not relevant,not relevant,not relevant,not relevant,37.294
18,2,6,not relevant,not relevant,medium,medium,not relevant,low,not relevant,not relevant,not relevant,72.207
19,4,9,not relevant,not relevant,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,32.765
20,4,8,medium,not relevant,high,medium,medium,not relevant,not relevant,not relevant,not relevant,165.593
21,4,10,not relevant,not relevant,high,medium,not relevant,not relevant,high,not relevant,not relevant,54.759
22,3,8,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,63.011
23,4,9,medium,not relevant,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,116.611
24,3,8,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,not relevant,not relevant,23.86
25,3,9,medium,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,100.881
26,3,8,not relevant,not relevant,not relevant,medium,medium,medium,not relevant,not relevant,not relevant,59.303
27,3,8,not relevant,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,not relevant,22.279
28,3,8,medium,not relevant,not relevant,medium,low,not relevant,not relevant,not relevant,not relevant,108.405
29,3,8,medium,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,32.393
30,3,9,not relevant,medium,not relevant,high,medium,not relevant,high,not relevant,not relevant,30.143
31,3,8,not relevant,not relevant,not relevant,medium,not relevant,medium,high,not relevant,not relevant,62.645
32,3,7,medium,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,51.893
33,3,9,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,not relevant,not relevant,58.961
34,3,8,not relevant,not relevant,high,not relevant,not relevant,not relevant,high,medium,not relevant,67.098
35,3,9,not relevant,not relevant,not relevant,not relevant,medium,not relevant,medium,not relevant,not relevant,33.152
36,3,8,not relevant,not relevant,medium,not relevant,low,high,high,not relevant,not relevant,39.1
37,3,9,not relevant,not relevant,high,not relevant,medium,medium,high,not relevant,not relevant,70.89
38,4,10,not relevant,not relevant,high,high,not relevant,not relevant,high,not relevant,not relevant,16.935
39,3,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,3557.569
40,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,13.951
41,3,7,not relevant,not relevant,not relevant,high,low,not relevant,medium,not relevant,not relevant,22.21
42,3,7,not relevant,low,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,30.763
43,2,5,not relevant,not relevant,not relevant,medium,low,not relevant,not relevant,not relevant,not relevant,17.686
44,4,10,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,53.314
45,3,7,not relevant,not relevant,high,high,low,not relevant,not relevant,not relevant,not relevant,72.839
46,3,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,23.436
47,3,8,medium,medium,high,high,low,not relevant,not relevant,not relevant,not relevant,41.152
48,4,9,not relevant,not relevant,high,high,medium,not relevant,high,not relevant,not relevant,34.227
49,4,8,not relevant,low,medium,high,low,not relevant,high,not relevant,not relevant,60.691
50,4,9,not relevant,medium,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,15.817
51,3,9,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,49.562
52,4,10,not relevant,not relevant,high,high,not relevant,high,not relevant,not relevant,not relevant,49.037
53,4,9,not relevant,medium,high,high,medium,not relevant,not relevant,not relevant,not relevant,47.319
54,4,9,not relevant,not relevant,high,medium,medium,not relevant,high,not relevant,not relevant,22.227
55,3,8,medium,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,20.772
56,4,10,not relevant,not relevant,high,high,medium,not relevant,not relevant,not relevant,not relevant,25.189
57,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,39.325
58,4,9,not relevant,not relevant,not relevant,high,medium,not relevant,medium,not relevant,not relevant,40.505
59,3,8,medium,not relevant,high,medium,medium,not relevant,high,not relevant,not relevant,36.854
60,4,9,not relevant,not relevant,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,36.427
61,3,9,medium,not relevant,high,high,medium,not relevant,not relevant,not relevant,not relevant,99.355
62,3,8,not relevant,medium,not relevant,medium,high,not relevant,high,not relevant,not relevant,51.95
63,4,9,not relevant,not relevant,high,medium,medium,not relevant,not relevant,not relevant,not relevant,26.098
64,4,10,not relevant,medium,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,30.63
65,4,9,not relevant,medium,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,19.387
66,3,7,medium,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,31.495
67,3,7,low,not relevant,not relevant,high,medium,not relevant,high,not relevant,not relevant,52.242
68,3,6,not relevant,not relevant,low,low,not relevant,not relevant,not relevant,not relevant,not relevant,32.331
69,4,7,not relevant,not relevant,medium,medium,not relevant,not relevant,low,not relevant,not relevant,21.676
70,3,8,not relevant,medium,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,27.1
71,3,7,not relevant,not relevant,low,medium,not relevant,not relevant,not relevant,not relevant,not relevant,19.883
72,3,8,not relevant,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,not relevant,29.571
73,3,7,medium,not relevant,medium,not relevant,low,not relevant,not relevant,not relevant,not relevant,18.07
74,3,5,not relevant,not relevant,low,medium,not relevant,low,not relevant,not relevant,not relevant,54.433
75,3,9,medium,not relevant,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,72.321
76,4,9,not relevant,not relevant,medium,medium,not relevant,low,not relevant,not relevant,not relevant,32.954
